date,tweet
2019-04-01,Honestly same rn. His behavior is excused so much when it’s unacceptable I want pizza but it’s so late idk what to do.
2019-04-02,"  FAIR The boob aches. Just hanging from my chest makes them hurt so baddddd Do you ever think of something really mean you did a long time ago and it physically pains you?  Actual footage of me.  This is so cute! Congrats on the new tat! Help, I’m depressed and all I’ve wanted to eat for weeks is mac n cheese.  I’m a Libra and that’s why I wanna get it out. Heck yes you are!!! ❤️   Smort *laughs in Pittsburgh* Pissy emailing is so fun. I have been the got it person tho lol  YASSSS ❤️🧡💛💚💙💜💖 Both are so cute!!!"
2019-04-03,Ok! Had to try :))  Are there any left?!?   
2019-04-04,"I love that Zu is such an integral part of my being, like I’m a real ass mom.  Nah you’re just too close to see how great you are   Foods, Rihanna, and an incredible shoe collection Yeah lol gotta just own it at that point  DnD, k-pop, cute face Bohemian style, record store, AMAZING selfie game. I was running late this morning, but you betcher ass I still stopped to pet a teeny tiny Pomeranian puppy on my way to the bus stop. PRIORITIES.  There’s a song that helps lol I only remember the first 150 bc I am weak. Lol they are all the tiny battle monsters ClefairyArticuno TogepiHaunterElectabuzzRaichu IvysaurNidorinaExeggcute "
2019-04-05," This is what gets me out of bed in the morning tbh Lol it is certainly a lot.   Lucy lawless, Rachel weiscz,  endless stream of stabbing incredible women Captain Marvel, awesome fashion,  happy selfies Kim K reaction pics, reading people within an inch of their life, and Kanye I could run a sweet art business from home js   ❤️🧡💛💚💙💜 Also iPhone has a parasite🦠 emoji??? Hahaha like a parasite... wait no "
2019-04-06," Ppl like this get so defensive when you tell them to just watch the movie. It’s like I know the same amount as you.  I want one of those hot toys dolls real bad rn and idk why. Send help, I’m gonna retail therapy myself to death.  "
2019-04-08,  
2019-04-09, NO WAY I just watched the Hulu special on Nxium the other day!!!! Basically if I die DRAG HER AT MY FUNERAL This bus driver is hitting so many curbs and has already slammed the brakes so hard I bashed my knee on the seat. Kinda sad we didn’t get to see Joy Behar commit assault and battery on live tv 
2019-04-10, 
2019-04-11,I had a gross dog story to tell and I asked my coworker if he wanted to hear something gross bc i was thinking about it NOT THINKING THAT I JUST CAME OUT OF THE BATHROOM AND IT WOULD BE WEIRD and now I’m mortified and want to die. 
2019-04-12,"You have energy and dedication I do not possess Seriously. I’m always tired when I’m in a hotel, idc, I’m sleeping. Oh no I get in there. My Immune system is tough.  I have a coworker who brings her own sheets lol you two would get along I use theirs. Fuck it. They look so GOOD!    "
2019-04-13,
2019-04-14,  He’s truly won the game lol
2019-04-15,Wasn’t that. The whole point. ?
2019-04-16,Jfc their shit is so far from together.
2019-04-17,"In times of hardship I think of Aidy Bryant in Shrill saying “you have a fat ass and big titties, you call the shots” and I feel calm."
2019-04-18,"While we’re at it, EVERYONE’S obsession with her boobs is so weird. There’s even a comment about how they “try not to sexualize her” AND YET The more you rewatch Community, the creepier Jeff’s obsession with Annie is. This thread is so horrifying"
2019-04-20, If we’re ever in the vicinity of each other we will do thissssss My lunch with friends turned into a five and a half hour booze cruise.  A man just looked me in the face and said America was the least racist country and I have died.
2019-04-21,"  Obviously, you gorgeous bitch!  300 DOLL HAIRS?! Holy fuck "
2019-04-22,My thoughts are with you in this time of hardship.
2019-04-23,    You’re a genius. I’ll start looking for the dresses. I’m already thinking about Halloween bc my soul yearns to feel joy. Thinking of either:  Bleh. I liked it but I feel like I don’t wanna watch anymore of it. Is it like over over or just season over  Can wait to shit glitter and mb also rob a bank lol 
2019-04-26,OH MY GAAAAAAAAHD!!!!! Congratulations! Better change my damn life!!!!!!! TO BE FAIR it was for some special sauce but still. STILL OK. In what kind of capitalist hellscape should a dipping sauce cost 5 ENTIRE DOLLARS.   
2019-04-27,OK FINE. I STRESS-BOUGHT ALIEN T-SHIRTS.  Start a style blogggg
2019-04-28,
2019-04-29,Coworker: I gained 4/10 of a lb so I’m not participating in the company lunch. Me: pic.twitter.com/zdA9TdD0Ws
2019-04-30,Like honestly lol. We’re predictable.  I’m lying on the floor on my phone deciding if it’s still worth it lollll Dude. Link? 
2019-05-01, YESSSSSSS. Ok I love them. Is it Sansa and Danaerys? I can’t figure it out lol She has truly become a villain and I love it.  I would die for him???? It’s so painful like I just stood there screeching 
2019-05-04, It looked DELICIOUS.
2019-05-05,But still appreciates them! This is so on brand for you. Who else has been ruined by Dead to Me this weekend? You can say GoT it’s okay. Thank you!!!!  Like stealing my heart?!?!
2019-05-06,so real. RIGHT I didn’t pause my Shudder window when I closed the case on my iPad and can I just TELL YOU how high I jumped when a random burst of ominous static came out of the speakers. It was just SOOOO good and creepy. 
2019-05-07,
2019-05-08,Mark your calendar for next year. 
2019-05-09,
2019-05-10, 
2019-05-11,Fair point lol I need to get back into yoga! I wish I had done ballet as a child. My legs are so inflexible and fucked up.
2019-05-12, ❤️❤️ yes and it’s so hard when you can’t even explain or don’t want to. If my job finds out I know they’ll treat me differently. C H O S E N  Josh Groban?    Travis Scott!???? I saw Backstreet Boys in like 4th grade bc my dad worked for Sony and they gave him tickets. You are correct sir!  1) Backstreet Boys2) Artctic Monkeys3) Halsey4)Sia5) Lady GaGa https://twitter.com/MarkHarrisNYC/status/1127307575379283968 … Please tell me Tim McGraw is the lie PLEASE TELL ME The original is ALWAYS better but you look good any which way!  No sign of this for Constance Wu for example. Thank youuuu the light at my new desk is perfect for selfies. Not to copy @artemisvoid but I just ordered new glasses and I’m STOKED. Do people still say stoked? Do I care? No! Recently I’m also getting -vertigo-blurry/shaky vision -weakness-fatigue Hooray! 
2019-05-13,Thats pretty awesome! Journey?  The next Iron Man.  Soooo whereabouts did you find this gift from 90’s Cartoon God 
2019-05-14, 
2019-05-15,Fight fight fight
2019-05-16,"Honestly, nap pits is more accurate  Walder Frey voice: I bless the rains down in Castamere"
2019-05-17, We never deserved her. And now she’s gone. 
2019-05-18,"If I’m on your ‘close friends’ list on Instagram, just know I love you and I am honored.   "
2019-05-19,#DateYourselfIn5Words “I miss my Gameboy Color.”      “Why dont you online date anymore?”Me: https://twitter.com/SheRatesDogs/status/1129820187555794945 …
2019-05-20, Soooo awkward. Koala tea content. 👌  
2019-05-21,"We just had a beautiful funeral for my coworker’s Betta fish, Joshua. He will be missed. Thank you so much. It was an ordeal lol  It feels very “single bisexual at the office who is cool in a geeky way” Thank you!! 💗💗😊😊😊 Omg!!!! That’s so weird, my coworker said his dog puked too! Should we be worried?     PERFECT Ummmm is it Opposite Day? Cuz u cute You stop it! 😍😍😍😍"
2019-05-22,"You know your boobs look good when your friend talks about them for 5 whole minutes      Honestly! It’s a wonder the stress didn’t kill her faster than the TWO brain aneurysms. Fair, but yeah I also find it upsetting that it’s framed as a good thing. :/  Does anyone else feel that it’s.... unsettling that Emilia Clarke is being praised for working even when she was possibly dying? Like shouldn’t we feel angry she felt she had to?? UM you look amazing?! "
2019-05-23,  You’re my actual hero     You have to admire the confidence. Decisions were made and consequences accepted lol  I’m so sorry 💗
2019-05-24,"I got Trixie which is so accurate. There’s what now 😍💗😍😍 I was also conflicted bc her acting in the trailers is chilling, but like you said... eehhh This was my favorite season of ANTM I can want both. "
2019-05-25,Oh yes? Maybaps we have a movie night??? 
2019-05-26,The only way to cope tbh Lol ok fair but that event is so you! A literal crime that they didn’t invite you?????   Ok so do you have your visa yet or
2019-05-27," THIS IS AMAZING It’s possible. They basically nap and eat and I’m an expert at that shit so It’s close but no no like a pet baby I don’t love kids for me, but babies are cute. Is it possible to have a pet baby? "
2019-05-28,Lol just two! The black and pink ones are olddddd. And thank youuuu  So Dennis Duffy is in John Wick???? Thank youuuu. He’s the best buddy. SO DERN CUTE OMG Thank youuuu! It’s my favorite one! Omggggggggggg I love themmmm!!!! It’s like they can sense it!!! What kind of dog is Bailey?  Represent!!! 
2019-05-29," There is a woman at the gym literally standing at the hand dryer, holding her pants open with one hand, drying her pubes(?) with the other. "
2019-05-30,The outfit! The smile! The poses! We Stan!
2019-05-31,"No joke, I would fight a bitch."
2019-06-03,Got an email about “an existing dental plan” and thought it said “existential dental plan.”
