date,tweet,Subjectivity,Polarity,Score
2019-04-01,Honestly rn. His behavior excused much it’s unacceptable I want pizza it’s late idk do.,0.5666666666666668,0.16666666666666666,Positive
2019-04-02,"FAIR The boob aches. Just hanging chest make hurt baddddd Do ever think something really mean long time ago physically pain you? Actual footage me. This cute! Congrats new tat! Help, I’m depressed I’ve wanted eat week mac n cheese. I’m Libra that’s I wanna get out. Heck yes are!!! ❤️ Smort *laughs Pittsburgh* Pissy emailing fun. I got person tho lol YASSSS ❤️🧡💛💚💙💜💖 Both cute!!!",0.5584902597402597,0.33719815340909093,Positive
2019-04-03,Ok! Had try :)) Are left?!?,0.5,0.375,Positive
2019-04-04,"I love Zu integral part being, like I’m real as mom. Nah you’re close see great Foods, Rihanna, incredible shoe collection Yeah lol gotta point DnD, k-pop, cute face Bohemian style, record store, AMAZING selfie game. I running late morning, betcher as I still stopped pet teeny tiny Pomeranian puppy way bus stop. PRIORITIES. There’s song help lol I remember first 150 bc I weak. Lol tiny battle monster ClefairyArticuno TogepiHaunterElectabuzzRaichu IvysaurNidorinaExeggcute",0.6338888888888888,0.33833333333333343,Positive
2019-04-05,"This get bed morning tbh Lol certainly lot. Lucy lawless, Rachel weiscz, endless stream stabbing incredible woman Captain Marvel, awesome fashion, happy selfies Kim K reaction pics, reading people within inch life, Kanye I could run sweet art business home j ❤️🧡💛💚💙💜 Also iPhone parasite🦠 emoji??? Hahaha like parasite... wait",0.7523809523809525,0.39325396825396824,Positive
2019-04-06,"Ppl like get defensive tell watch movie. It’s like I know amount you. I want one hot toy doll real bad rn idk why. Send help, I’m gonna retail therapy death.",0.925,-0.375,Negative
2019-04-09,NO WAY I watched Hulu special Nxium day!!!! Basically I die DRAG HER AT MY FUNERAL This bus driver hitting many curb already slammed brake hard I bashed knee seat. Kinda sad didn’t get see Joy Behar commit assault battery live tv,0.4834183673469388,0.20237539618119976,Positive
2019-04-11,I gross dog story tell I asked coworker wanted hear something gross bc thinking NOT THINKING THAT I JUST CAME OUT OF THE BATHROOM AND IT WOULD BE WEIRD I’m mortified want die.,0.3333333333333333,-0.16666666666666666,Negative
2019-04-12,"You energy dedication I posse Seriously. I’m always tired I’m hotel, idc, I’m sleeping. Oh I get there. My Immune system tough. I coworker brings sheet lol two would get along I use theirs. Fuck it. They look GOOD!",0.6833333333333335,0.025462962962962965,Positive
2019-04-14,He’s truly game lol,0.55,0.2,Positive
2019-04-15,Wasn’t that. The whole point. ?,0.4,0.2,Positive
2019-04-16,Jfc shit far together.,0.9,-0.05,Negative
2019-04-17,"In time hardship I think Aidy Bryant Shrill saying “you fat as big titties, call shots” I feel calm.",0.48333333333333334,-0.033333333333333326,Negative
2019-04-18,"While we’re it, EVERYONE’S obsession boob weird. There’s even comment “try sexualize her” AND YET The rewatch Community, creepier Jeff’s obsession Annie is. This thread horrifying",1.0,-0.7,Negative
2019-04-20,If we’re ever vicinity thissssss My lunch friend turned five half hour booze cruise. A man looked face said America least racist country I died.,0.2833333333333333,-0.23333333333333334,Negative
2019-04-21,"Obviously, gorgeous bitch! 300 DOLL HAIRS?! Holy fuck",0.75,0.3,Positive
2019-04-22,My thought time hardship.,0.0,0.0,Neutral
2019-04-23,You’re genius. I’ll start looking dresses. I’m already thinking Halloween bc soul yearns feel joy. Thinking either: Bleh. I liked I feel like I don’t wanna watch anymore it. Is like season Can wait shit glitter mb also rob bank lol,0.625,0.5,Positive
2019-04-26,OH MY GAAAAAAAAHD!!!!! Congratulations! Better change damn life!!!!!!! TO BE FAIR special sauce still. STILL OK. In kind capitalist hellscape dipping sauce cost 5 ENTIRE DOLLARS.,0.6660714285714285,0.5261904761904762,Positive
2019-04-27,OK FINE. I STRESS-BOUGHT ALIEN T-SHIRTS. Start style blogggg,0.5833333333333334,0.22222222222222224,Positive
2019-04-29,Coworker: I gained 4/10 lb I’m participating company lunch. Me: pic.twitter.com/zdA9TdD0Ws,0.0,0.0,Neutral
2019-04-30,Like honestly lol. We’re predictable. I’m lying floor phone deciding it’s still worth lollll Dude. Link?,0.43333333333333335,0.30000000000000004,Positive
2019-05-01,YESSSSSSS. Ok I love them. Is Sansa Danaerys? I can’t figure lol She truly become villain I love it. I would die him???? It’s painful like I stood screeching,0.6599999999999999,0.31999999999999995,Positive
2019-05-04,It looked DELICIOUS.,1.0,1.0,Positive
2019-05-05,But still appreciates them! This brand you. Who else ruined Dead Me weekend? You say GoT it’s okay. Thank you!!!! Like stealing heart?!?!,0.45,0.4,Positive
2019-05-06,real. RIGHT I didn’t pause Shudder window I closed case iPad I TELL YOU high I jumped random burst ominous static came speakers. It SOOOO good creepy.,0.634795918367347,0.09836734693877551,Positive
2019-05-08,Mark calendar next year.,0.0,0.0,Neutral
2019-05-11,Fair point lol I need get back yoga! I wish I done ballet child. My leg inflexible fucked up.,0.5800000000000001,0.10000000000000002,Positive
